(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	1	1.0
(('low', 'back', 'unround', 'long'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	tia	3	0.3333333333333333
(('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	4	0.25
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	hia	5	0.4
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	hia	1	1.0
(('high', 'front', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	2	1.0
(('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	a	6	0.5
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	2	0.5
(('mid', 'back', 'round', 'long'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	kia	18	0.2222222222222222
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	mia	3	0.3333333333333333
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	mia	19	0.05263157894736842
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	5	1.0
(('mid', 'front', 'unround', 'long'), ('high', 'front', 'unround', 'short'))	tia	2	0.5
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	hia	12	0.08333333333333333
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	9	0.1111111111111111
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	ia	18	0.05555555555555555
(('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
