mātakitaki	['voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop', 'voiceless, velar, oral, stop', 'voiceless, dental, oral, stop', 'voiceless, velar, oral, stop']
mātau	['voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop']
mātau	['voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop']
mate	['voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop']
mau	['voiced, bilabial, nasal, stop']
māunu	['voiced, bilabial, nasal, stop', 'voiced, dental, nasal, stop']
mea	['voiced, bilabial, nasal, stop']
meke	['voiced, bilabial, nasal, stop', 'voiceless, velar, oral, stop']
mekemeke	['voiced, bilabial, nasal, stop', 'voiceless, velar, oral, stop', 'voiced, bilabial, nasal, stop', 'voiceless, velar, oral, stop']
memeke	['voiced, bilabial, nasal, stop', 'voiced, bilabial, nasal, stop', 'voiceless, velar, oral, stop']
mīharo	['voiced, bilabial, nasal, stop', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
mihi	['voiced, bilabial, nasal, stop', 'voiceless, glottal, oral, fricative']
minita	['voiced, bilabial, nasal, stop', 'voiced, dental, nasal, stop', 'voiceless, dental, oral, stop']
miraka	['voiced, bilabial, nasal, stop', 'voiced, dental-alveolar, oral, flap', 'voiceless, velar, oral, stop']
miri	['voiced, bilabial, nasal, stop', 'voiced, dental-alveolar, oral, flap']
miro	['voiced, bilabial, nasal, stop', 'voiced, dental-alveolar, oral, flap']
miti	['voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop']
mitimiti	['voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop', 'voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop']
moe	['voiced, bilabial, nasal, stop']
mōhio	['voiced, bilabial, nasal, stop', 'voiceless, glottal, oral, fricative']
mōkete	['voiced, bilabial, nasal, stop', 'voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
momi	['voiced, bilabial, nasal, stop', 'voiced, bilabial, nasal, stop']
mono	['voiced, bilabial, nasal, stop', 'voiced, dental, nasal, stop']
moto	['voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop']
motu	['voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop']
mōunu	['voiced, bilabial, nasal, stop', 'voiced, dental, nasal, stop']
mui	['voiced, bilabial, nasal, stop']
muimui	['voiced, bilabial, nasal, stop', 'voiced, bilabial, nasal, stop']
